GO_1	GO_2	GO_1_Depth	GO_1_Leaf_Distance	GO_2_Depth	GO_2_Leaf_Distance	GO_1_to_GO_2_Hops_Undirected
GO:1903425	GO:1901702	5	1	3	1	4
GO:0080162	GO:0060918	4	0	5	1	2
GO:0015115	GO:1901702	5	0	3	1	4
GO:0015106	GO:0015318	6	1	3	1	4
GO:0015706	GO:1902025	5	1	6	0	1
GO:0010486	GO:0051139	6	0	6	1	2
GO:0035158	GO:0035151	6	0	4	2	2
GO:0015813	GO:0051938	5	1	6	1	2
GO:0019783	GO:0008233	5	1	3	1	2
GO:0020035	GO:0044650	3	0	3	1	2
GO:0010550	GO:0042176	7	0	5	1	2
GO:0097485	GO:0031175	3	1	6	1	6
GO:0031431	GO:1902554	3	0	6	1	4
GO:0019694	GO:0006082	3	1	3	1	2
GO:0006734	GO:0019674	2	1	2	1	2
GO:0034488	GO:0032974	4	0	4	1	2
GO:0031211	GO:0002178	3	2	4	4	2
GO:1903966	GO:0006633	5	0	5	1	2
GO:0031406	GO:0043177	4	1	3	1	2
GO:0015499	GO:1901702	6	1	3	1	4
GO:0043603	GO:0006807	4	1	2	1	2
GO:0039673	GO:0019049	4	0	3	1	2
GO:0045861	GO:0051248	7	1	6	1	2
GO:0051870	GO:0072341	3	0	2	1	3
GO:0006703	GO:0042446	4	0	3	1	2
GO:0019869	GO:0008200	5	0	4	1	3
GO:0044696	GO:0001907	6	0	4	2	2
GO:0055064	GO:0098771	8	1	6	2	2
GO:0033819	GO:0016415	3	0	5	1	2
GO:0055062	GO:0098771	8	1	6	2	2
GO:0006702	GO:0042446	4	0	3	1	2
GO:0007039	GO:0030163	6	1	4	1	2
GO:0015913	GO:0015912	7	0	6	1	3
GO:0070012	GO:0004175	4	0	4	1	2
GO:0019051	GO:0039526	6	1	4	2	2
GO:0015916	GO:0015711	6	2	5	1	2
GO:0015708	GO:0098658	4	0	5	1	2
GO:1902024	GO:0015807	6	1	5	1	3
GO:0042030	GO:0060590	3	1	2	1	3
GO:0140421	GO:0140298	6	0	5	0	2
GO:0047935	GO:0004344	6	0	4	1	2
GO:0052652	GO:0009187	7	1	6	2	2
GO:1902475	GO:0015807	6	1	5	1	2
GO:0000748	GO:0019953	4	0	2	1	3
GO:0000319	GO:1901702	4	0	3	1	3
GO:1902321	GO:0006633	5	0	5	1	2
GO:0015382	GO:0015370	6	0	6	1	2
GO:0009009	GO:0008907	4	1	4	1	2
GO:0010292	GO:0015297	5	0	5	1	3
GO:0052039	GO:0052008	7	0	7	1	2
GO:0072657	GO:0008104	4	1	3	1	2
GO:0030289	GO:0008287	4	0	4	1	2
GO:0060402	GO:0097553	4	2	5	1	1
GO:0001671	GO:0060590	3	1	2	1	3
GO:0140157	GO:0098659	4	0	5	1	3
GO:0061815	GO:0004843	7	0	5	0	2
GO:0021905	GO:0048859	3	0	3	1	2
GO:0004085	GO:0003995	5	0	4	1	3
GO:0039656	GO:0019054	3	2	3	1	2
GO:0044565	GO:0032943	5	0	4	2	2
GO:0015819	GO:1902022	6	2	6	2	2
GO:0015107	GO:1901702	5	0	3	1	4
GO:0046942	GO:0015849	6	1	5	1	2
GO:0015498	GO:0005343	4	0	4	1	2
GO:0015109	GO:1901702	5	0	3	1	4
GO:0006700	GO:0042446	4	1	3	1	2
GO:0120292	GO:1903221	7	0	6	1	3
GO:0140425	GO:0140271	4	0	5	1	3
GO:0099116	GO:0000966	9	1	7	2	2
GO:1902266	GO:0055082	6	0	3	1	3
GO:0010856	GO:0010854	4	0	5	1	3
GO:0015685	GO:0033214	5	0	5	1	2
GO:0051920	GO:0004601	2	1	2	1	2
GO:1990221	GO:1902494	2	1	2	1	2
GO:0009065	GO:0009063	6	2	4	1	2
GO:0008210	GO:0042445	4	1	2	2	2
GO:0044409	GO:0044000	5	1	5	2	2
GO:0042780	GO:0031123	9	1	7	1	2
GO:0034246	GO:0140110	3	0	1	1	2
GO:0015108	GO:1901702	4	0	3	1	5
GO:0047934	GO:0004344	6	0	4	1	2
GO:0015701	GO:0019755	6	0	5	1	3
GO:0039506	GO:0019054	3	2	3	1	2
GO:1903965	GO:0009062	5	0	5	1	3
GO:0015654	GO:1901702	5	0	3	1	4
GO:0010348	GO:0051139	6	0	6	1	2
GO:0070550	GO:0030261	8	0	8	1	2
GO:0002179	GO:0002178	5	0	4	4	4
GO:0140052	GO:0071404	4	0	4	0	2
GO:0150102	GO:0002695	5	0	5	1	2
GO:0045239	GO:1902494	2	2	2	1	2
GO:0043687	GO:0036211	6	1	4	2	2
